City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,alice springs,-23.7,133.8833,24.75,16,0,6.69,AU,1697509162
348,ancud,-41.8697,-73.8203,6.41,88,3,2.36,CL,1697509162
349,antsiranana,-12.2787,49.2917,24.45,72,83,3.02,MG,1697509163
350,vikhorevka,56.1201,101.1636,1.77,97,100,3.75,RU,1697509163
351,jinghong,21.991,100.7341,25.99,68,56,1.03,CN,1697509163
352,francistown,-21.17,27.5079,18.19,89,31,4.35,BW,1697508961
353,ephraim,39.3597,-111.5863,15.45,32,0,0.73,US,1697509163
354,mitsamiouli,-11.3847,43.2844,25.37,82,16,5.27,KM,1697509163
355,rongelap,11.1635,166.8941,28.73,76,4,8.08,MH,1697509164
356,whitehorse,60.7161,-135.0538,3.78,100,100,2.57,CA,1697508996
357,jaguarari,-10.2639,-40.1958,19.83,64,0,3.74,BR,1697509164
358,san juan,-31.5375,-68.5364,17.76,17,0,4.78,AR,1697509149
359,yopal,5.3378,-72.3959,22.69,92,72,1.86,CO,1697509164
360,boldumsaz,42.1282,59.671,6.03,35,1,3.91,TM,1697508946
